conflict_id,region,event_type,date,latitude,longitude,severity, "Result"
1,Myanmar,Political Protest,2023-01-01,-36.735,80.7097,Moderate
2,Ukraine,Political Protest,2023-01-01,34.0874,47.0962,Low
3,Pakistan,Strike,2023-01-01,20.5246,-92.0438,Moderate
4,Ethiopia,Political Protest,2023-01-01,14.7244,29.5313,High
5,India,Civil Unrest,2023-01-01,-10.8814,59.7887,Low
6,Myanmar,Civil Unrest,2023-01-02,8.7809,10.5437,Critical
7,Myanmar,Border Skirmish,2023-01-02,-27.4055,7.5984,Low
8,Pakistan,Political Protest,2023-01-02,20.9964,-83.9534,High
9,India,Political Protest,2023-01-02,14.3086,23.1734,Critical
10,Brazil,Political Protest,2023-01-02,-10.2245,79.2553,Low
11,Brazil,Political Protest,2023-01-03,23.6353,61.3711,High
12,Ethiopia,Civil Unrest,2023-01-03,-28.4012,38.8986,Moderate
13,India,Border Skirmish,2023-01-03,37.1088,-95.9645,Moderate
14,India,Armed Conflict,2023-01-04,-33.012,-95.7541,Critical
15,South Sudan,Border Skirmish,2023-01-04,-3.8089,59.217,High
16,Ethiopia,Strike,2023-01-05,26.5107,9.329,Moderate
17,Ethiopia,Border Skirmish,2023-01-05,16.824,-91.082,High
18,Nigeria,Strike,2023-01-05,-4.8237,48.1316,Low
19,Ukraine,Riots,2023-01-06,-33.4149,56.2307,Moderate
20,Nigeria,Riots,2023-01-07,-25.9108,-86.1645,Moderate
21,India,Riots,2023-01-07,21.9681,-94.3655,Low
22,Pakistan,Political Protest,2023-01-07,34.0597,7.8239,Moderate
23,Nigeria,Strike,2023-01-07,39.2318,-81.4186,High
24,Ethiopia,Political Protest,2023-01-08,-5.9488,-53.7103,Low
25,Ukraine,Armed Conflict,2023-01-08,-19.778,-50.6574,Low
26,Pakistan,Armed Conflict,2023-01-08,12.7357,-82.6577,Moderate
27,Pakistan,Border Skirmish,2023-01-09,-29.5074,93.3379,High
28,India,Border Skirmish,2023-01-09,12.6309,68.1669,Low
29,Ethiopia,Riots,2023-01-10,33.4031,3.4408,Low
30,Nigeria,Political Protest,2023-01-10,-38.5415,-61.9343,Moderate
31,Nigeria,Political Protest,2023-01-10,-21.9593,38.7981,Low
32,India,Strike,2023-01-10,9.581,56.5627,Low
33,Nigeria,Civil Unrest,2023-01-11,15.7847,15.3907,Low
34,India,Border Skirmish,2023-01-11,0.6745,-77.7328,Low
35,Pakistan,Armed Conflict,2023-01-11,12.6722,70.3292,Low
36,India,Armed Conflict,2023-01-11,-8.9931,20.6358,High
37,South Sudan,Civil Unrest,2023-01-12,-1.4493,-13.0687,Low
